idx, formula, icsd, V.MFrac, Fe.MFrac, Cu.MFrac, OM.Ratio
51, CuV2O6, 04-008-9659, 0.6667, 0.0000, 0.3333, 2.0000
52, CuVO3, 00-024-0378, 0.5000, 0.0000, 0.5000, 1.5000
53, CuVO3, 01-071-0860, 0.5000, 0.0000, 0.5000, 1.5000
54, CuVO3, 04-007-8067, 0.5000, 0.0000, 0.5000, 1.5000
55, Fe(V2O4), 01-074-6506, 0.6667, 0.3333, 0.0000, 1.3333
56, Fe(VO4), 04-008-4551, 0.5000, 0.5000, 0.0000, 2.0000
57, Fe0.11V2O5.15, 01-082-1871, 0.9479, 0.0521, 0.0000, 2.4408
58, Fe0.33V2O5, 00-019-0641, 0.8584, 0.1416, 0.0000, 2.1459
59, Fe0.716V1.284O4, 00-032-0476, 0.6420, 0.3580, 0.0000, 2.0000
60, Fe0.75V0.75V0.5O4, 01-072-0567, 0.6250, 0.3750, 0.0000, 2.0000
61, Fe0.856O, 01-071-0161, 0.0000, 1.0000, 0.0000, 1.1682
62, Fe0.925O, 04-012-3656, 0.0000, 1.0000, 0.0000, 1.0811
63, Fe0.93O, 04-011-7344, 0.0000, 1.0000, 0.0000, 1.0753
64, Fe0.942O, 01-085-0625, 0.0000, 1.0000, 0.0000, 1.0616
